30EM325A|DISB-14/812|2014-06-16 00:00:00.0|2014-06-16 00:00:00.0|40.00|0.00|0.00|2014-06-16 12:50:44.367|2014-06-16 12:50:44.367|STAMP DUTY PAYABLE|AED_ELEGANT
30EM0273|DISB-14/998|2014-07-07 00:00:00.0|2014-07-07 00:00:00.0|100.00|0.00|0.00|2014-07-07 09:18:00.867|2014-08-25 10:11:21.703|Name Search|AED_ELEGANT
30EM325A|DISB-14/1086|2014-07-14 00:00:00.0|2014-07-14 00:00:00.0|10.00|0.00|0.00|2014-07-14 12:17:31.703|2014-07-14 12:17:31.703|Disbursement |AED_ELEGANT
30EM0005|I-0001851|2015-03-23 00:00:00.0|2015-03-23 00:00:00.0|400.00|0.00|0.00|2015-03-23 14:21:27.56|2015-03-23 14:21:27.56|AR 2015 & PRE-SIGN (MASAHIRO ONISHI)|AED_ELEGANT
30EM0510|GI-00338|2015-04-15 00:00:00.0|2015-04-15 00:00:00.0|240.00|14.40|0.00|2015-04-22 11:50:41.0|2015-04-22 11:50:41.0|Apr May Jun 2015|AED_ELEGANT
30EM325A|I-0914-0019|2014-09-19 00:00:00.0|2014-09-19 00:00:00.0|339.20|0.00|0.00|2014-09-19 13:02:43.17|2014-09-19 13:02:43.17|Jun  2014 - Sept 2014|AED_ELEGANT
30EM0005|GI-01036|2015-04-15 00:00:00.0|2015-04-15 00:00:00.0|240.00|14.40|0.00|2015-05-19 10:35:09.747|2015-05-19 10:35:09.747|Apr May Jun 2015|AED_ELEGANT
30EM0510|DISB-14/1906|2014-10-23 00:00:00.0|2014-10-23 00:00:00.0|300.00|0.00|0.00|2014-10-24 09:19:44.743|2014-10-24 09:20:56.987|APPOINTMENT & RESIGNATION OF DIRECTOR|AED_ELEGANT
30EM0001|DISB-000939|2015-07-09 00:00:00.0|2015-07-09 00:00:00.0|65.00|3.90|0.00|2015-07-09 09:14:12.757|2015-07-13 11:12:24.46|Certified of  F9, F24,44,49, M&A - 5x|AED_ELEGANT
30EM0510|DISB-14/1911|2014-08-06 00:00:00.0|2014-08-06 00:00:00.0|100.00|0.00|0.00|2014-10-24 13:07:21.397|2014-10-24 13:07:21.397|Photostat & Certification charges|AED_ELEGANT
30EM0273|I-1014-1018|2014-10-01 00:00:00.0|2014-10-01 00:00:00.0|636.00|0.00|0.00|2014-10-15 16:50:55.46|2014-10-15 16:50:55.46|July 2014 - Dec 2014|AED_ELEGANT
30EM0510|I-1114-0025|2014-11-17 00:00:00.0|2014-11-17 00:00:00.0|424.00|0.00|0.00|2014-11-17 15:12:22.66|2014-11-17 15:12:22.66|Aug 2014 - Dec 2014|AED_ELEGANT
30EM1276|DISB-001522|2015-09-22 00:00:00.0|2015-09-22 00:00:00.0|39.00|2.34|0.00|2015-09-22 09:14:37.007|2015-09-22 09:14:37.007|Certified of form 49,24,44, M&A (3 Copies) for MBB online banking|AED_ELEGANT
30EM0273|DISB-001529|2015-09-23 00:00:00.0|2015-09-23 00:00:00.0|300.00|18.00|0.00|2015-09-23 11:00:57.27|2015-09-23 11:00:57.27|Annual Return 2015 and Accounts Attestation |AED_ELEGANT
30EM0327|DISB-001718|2015-10-15 00:00:00.0|2015-10-15 00:00:00.0|38.00|2.28|0.00|2015-10-15 12:46:51.203|2015-10-15 12:46:51.203|Certified of Form 24, 49, 44, M&A (2sets) for banking purpose. & courier service|AED_ELEGANT
30EM1278|DISB-001782|2015-10-22 00:00:00.0|2015-10-22 00:00:00.0|50.00|3.00|0.00|2015-10-22 16:25:36.26|2015-11-05 10:41:15.64|Corporate search for updated director status |AED_ELEGANT
30EM0273|I-0000173|2015-01-02 00:00:00.0|2015-01-02 00:00:00.0|318.00|0.00|0.00|2014-12-24 16:34:58.857|2014-12-24 16:34:58.857|Jan Feb Mar 2015|AED_ELEGANT
30EM1278|DISB-001894|2015-11-05 00:00:00.0|2015-11-05 00:00:00.0|200.00|12.00|0.00|2015-11-05 12:59:55.24|2015-11-05 13:07:21.5|APPOINTMENT OF DIRECTOR (ZHANG WEN)|AED_ELEGANT
30EM1278|GI-03237|2015-11-05 00:00:00.0|2015-11-05 00:00:00.0|200.00|12.00|0.00|2015-11-05 15:18:43.733|2015-11-05 15:18:43.733|Nov Dec 2015|AED_ELEGANT
30EM0510|I-0000338|2015-01-02 00:00:00.0|2015-01-02 00:00:00.0|254.40|0.00|0.00|2014-12-31 15:27:00.75|2014-12-31 15:27:00.75|Jan Feb Mar 2015|AED_ELEGANT
30EM1262|GI-03245|2015-11-18 00:00:00.0|2015-11-18 00:00:00.0|400.00|24.00|0.00|2015-11-18 17:09:51.543|2015-11-19 13:49:28.11|Aug 2015 - Dec 2015|AED_ELEGANT
30EM1295|GI-03259|2015-11-18 00:00:00.0|2015-11-18 00:00:00.0|240.00|14.40|0.00|2015-11-19 10:17:11.593|2015-11-19 10:17:11.593|Oct Nov Dec 2015|AED_ELEGANT
30EM1295|DISB-001882|2015-11-04 00:00:00.0|2015-11-04 00:00:00.0|35.00|2.10|0.00|2015-11-04 10:41:06.61|2015-11-04 10:59:30.893|Certified Forms 49,  24 44, Annual Return and M&A|AED_ELEGANT
30EM1278|DISB-001895|2015-11-05 00:00:00.0|2015-11-05 00:00:00.0|11.00|0.66|0.00|2015-11-05 13:03:51.87|2015-11-05 13:06:54.183|CERTIFIED FORMS 49, 44, 24 & M&A FOR PURCHASE VEHICLE|AED_ELEGANT
30000285|GI-03274|2015-11-20 00:00:00.0|2015-11-20 00:00:00.0|160.00|9.60|0.00|2015-11-20 13:44:09.127|2015-11-20 13:44:09.127|Nov Dec 2015|AED_ELEGANT
30000150|DISB-002163|2015-12-16 00:00:00.0|2015-12-16 00:00:00.0|26.00|1.56|0.00|2015-12-16 10:15:14.243|2015-12-16 10:15:14.243|Cerification of form 24, 44, 49 & M&A|AED_ELEGANT
30EM0273|GI-1600229|2016-01-10 00:00:00.0|2016-01-10 00:00:00.0|300.00|18.00|0.00|2016-01-08 10:30:58.077|2016-01-08 10:30:58.077|Jan Feb Mar 2016|AED_ELEGANT
30000150|GI-1601157|2016-01-14 00:00:00.0|2016-01-14 00:00:00.0|320.00|19.20|0.00|2016-01-14 16:37:34.687|2016-01-14 16:38:49.243|OCT 2015 - JAN 2016|AED_ELEGANT
30EM0221|DISB-160105|2016-01-15 00:00:00.0|2016-01-15 00:00:00.0|85.00|5.10|0.00|2016-01-15 17:20:52.037|2016-01-15 17:24:55.017|Certification of M&A,24,44 & 49 (5sets)|AED_ELEGANT
